NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07159633,OurRelationship-S: A Digital Relationship-Strengthening Program for Couples Experiencing Substance Misuse,https://clinicaltrials.gov/study/NCT07159633,RECRUITING,Relationship Conflict|Relationship Distress,BEHAVIORAL: Online Couple Intervention,OurRelationship,National Institute on Drug Abuse (NIDA),INTERVENTIONAL,"Innovia Behavioral Health, Marietta, Georgia, 30062, United States|Voices of Hope Maryland, Elkton, Maryland, 21921, United States|Commonly Well, Potsdam, New York, 13676, United States|The Courage Center, Lexington, South Carolina, 29072, United States|Youturn Health, Coppell, Texas, 70519, United States"
NCT07159620,"Venetoclax Combined With Azacitidine, Chidamide, Vindesine, and Dexamethasone in Newly Diagnosed ETP-ALL Like Patients",https://clinicaltrials.gov/study/NCT07159620,RECRUITING,Adult T-cell Leukemia/Lymphoma,DRUG: VEN (Venetoclax)|DRUG: Azacitidine (AZA)|DRUG: Chidamide|DRUG: vindesine|DRUG: Dexamethasone,The First Affiliated Hospital of Soochow University,,INTERVENTIONAL,"The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, 215000, China"
NCT07159607,Amino Acid PET-based Response Assessment in IDH-mutant Gliomas (APPEAR),https://clinicaltrials.gov/study/NCT07159607,RECRUITING,"IDH-mutant Glioma (Oligodendroglioma, Astrocytoma)",,LMU Klinikum,Servier Affaires Médicales|Servier Deutschland GmbH,OBSERVATIONAL,"Medical University of Vienna, Vienna, 1090, Austria|LMU Hospital, Munich, Bavaria, 81377, Germany"
NCT07159594,The Impact of a Weight Reduction Intervention on Clinical Outcomes in Patients With Obesity and COPD,https://clinicaltrials.gov/study/NCT07159594,NOT_YET_RECRUITING,COPD|Obesity &Amp; Overweight,OTHER: Energy restriction,Sahlgrenska University Hospital,Göteborg University,INTERVENTIONAL,
NCT07159581,Gene Therapy for Wilson Disease Evaluated by 64Cu PET/CT,https://clinicaltrials.gov/study/NCT07159581,ENROLLING_BY_INVITATION,Wilson Disease,,Thomas Damgaard Sandahl,Ultragenyx Pharmaceutical Inc,OBSERVATIONAL,"Aarhus University Hospital, Aarhus, Aarhus N, 8200, Denmark"
NCT07159568,Pets Enhancing Therapeutics in Intensive Care Units,https://clinicaltrials.gov/study/NCT07159568,NOT_YET_RECRUITING,Intensive Care Unit (ICU) Patients|Dog Therapy,OTHER: Pet dog visit,"University Hospital, Clermont-Ferrand",,INTERVENTIONAL,"CHU Clermont-Ferrand, Clermont-Ferrand, France"
NCT07159555,Assessment of Neurofilaments Levels in Premature Newborns: Study of Their Early Development,https://clinicaltrials.gov/study/NCT07159555,NOT_YET_RECRUITING,Healthy Participants,OTHER: Blood sampling for neurofilament analysis,Centre Hospitalier Universitaire de Liege,Centre Hospitalier Régional de la Citadelle,OBSERVATIONAL,
NCT07159542,"MUSic Listening Impact on QUality of Life, Brain and Burnout of ALzheimer' Patients Informal Caregivers",https://clinicaltrials.gov/study/NCT07159542,NOT_YET_RECRUITING,Alzheimer Dementia (AD)|Caregivers,BEHAVIORAL: listening intervention|BEHAVIORAL: Neuropsychology assessment|OTHER: brain imaging examination,"University Hospital, Caen",,INTERVENTIONAL,"PFRS Caen France, Caen, France"
NCT07159529,Flapless Versus Flap Technique for Evaluation of Crestal Bone Loss and Osseointegration of Dental Implants,https://clinicaltrials.gov/study/NCT07159529,COMPLETED,Posterior Mandible Missing Tooth and /or Teeth,PROCEDURE: flapless technique|PROCEDURE: flap technique|PROCEDURE: tissue punching,Tanta University,,INTERVENTIONAL,"Faculty of Dentistry, Tanta University, Tanta, Gharbia Governorate, 31527, Egypt"
NCT07159516,Identifying Birth-Related PTSD: Cutoffs for the City Birth Trauma Scale,https://clinicaltrials.gov/study/NCT07159516,COMPLETED,Childbirth-related PTSD|PTSD|PTSD (Childbirth-Related)|PTSD - Post Traumatic Stress Disorder|Post Traumatic Stress,DIAGNOSTIC_TEST: Diagnostic interview,Region Östergötland,,OBSERVATIONAL,"Vrinnevisjukhuset, KK, Norrköping, 603 54, Sweden"
NCT07159503,VISOR Versus PCNL for Treatment of 2-4cm Renal Stones,https://clinicaltrials.gov/study/NCT07159503,ENROLLING_BY_INVITATION,Kidney Calculi|Kidney Stones,PROCEDURE: Vortex Intelligence Stone Optimized Removal|PROCEDURE: Percutaneous Nephrolithotomy (PCNL),"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, 230000, China"
NCT07159490,"Lower Limb Prostheses for Individuals Who Carry Infants, Toddlers, and Other Loads",https://clinicaltrials.gov/study/NCT07159490,ACTIVE_NOT_RECRUITING,Amputation|Prosthesis User,DEVICE: Standard-of-care prosthetic foot|DEVICE: Standard-of-care prosthetic foot with heel-stiffening wedge|DEVICE: Standard-of-care prosthetic foot of one category greater stiffness|DEVICE: Dual keel prosthetic foot|DEVICE: Powered ankle-foot,VA Puget Sound Health Care System,,INTERVENTIONAL,"VA Puget Sound Health Care System Seattle Division, Seattle, Washington, 98108, United States"
NCT07159477,Effect of Skin-to-Skin Contact on Father-Infant Bonding: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07159477,COMPLETED,Newborn Basic Care Training|Newborn Infant|Attachment|Bonding,BEHAVIORAL: Skin to Skin contact,Çanakkale Onsekiz Mart University,,INTERVENTIONAL,"Çanakkale Onsekiz MArt University Hospital, Çanakkale, 17100, Turkey (Türkiye)"
NCT07159464,Post Study Access of CSL312 (Garadacimab) for Pediatric Participants With Hereditary Angioedema Who Have Completed the CSL312_3003 Study,https://clinicaltrials.gov/study/NCT07159464,AVAILABLE,Hereditary Angioedema (HAE),BIOLOGICAL: CSL312,CSL Behring,,EXPANDED_ACCESS,
NCT07159451,"A Short-term Preoperative, Evaluating Activity and Safety of Elacestrant Monotherapy as Compared to Elacestrant + Ovarian Function Suppression (LHRH Agonist) in Premenopausal Patients With Stage I-II ER+/HER2- Breast Cancer",https://clinicaltrials.gov/study/NCT07159451,NOT_YET_RECRUITING,Breast Cancer,DRUG: Elacestrant|DRUG: Leuprorelin,"Gustave Roussy, Cancer Campus, Grand Paris",Menarini Group,INTERVENTIONAL,"Gustave Roussy, Villejuif, France"
NCT07159438,Multimodal Radiology Report to Improve Patient-centered Radiology,https://clinicaltrials.gov/study/NCT07159438,NOT_YET_RECRUITING,Health Literacy|Diagnostic Imaging|Imaging Results|Artificial Intelligence,OTHER: AI-Generated Video Radiology Report Explanation,Harvard Medical School (HMS and HSDM),,INTERVENTIONAL,
NCT07159425,Estimation of Analgetic Effect and Cooperability of Pediatric Patients During Application of Gass Mixture of Oxygen:Nitrogen Suboxide 50%:50% for Minimal Invasive Procedures,https://clinicaltrials.gov/study/NCT07159425,ENROLLING_BY_INVITATION,Pain|Anxiety|Sedation,,Mother and Child Health Institute of Serbia Dr Vukan Cupic,,OBSERVATIONAL,"Institute for mother and child health care, Belgrade, Serbia"
NCT07159412,Huazhi Rougan Granule as an Add-On Therapy for H. Pylori Infection With Metabolic-associated Steatohepatitis,https://clinicaltrials.gov/study/NCT07159412,NOT_YET_RECRUITING,Helicobacter Pylori Infection|Metabolic-associated Steatohepatitis|High-dose Dual Therapy|Huazhi Rougan Granule,DRUG: Vonoprazan-amoxicillin combined with Huazhi Rougan Granule|DRUG: Vonoprazan-amoxicillin combined with Huazhi Rougan Granule placebo,"Nanjing First Hospital, Nanjing Medical University",,INTERVENTIONAL,
NCT07159399,A Pharmacist-Led Education Program to Improve Adherence to Direct Oral Anticoagulants in Patients With Atrial Fibrillation,https://clinicaltrials.gov/study/NCT07159399,ENROLLING_BY_INVITATION,Atrial Fibrillation (AF),BEHAVIORAL: Pharmacist-led patient education|OTHER: Usual Care,National Taiwan University,,INTERVENTIONAL,"National Taiwan University Hospital, Taipei, Taiwan"
NCT07159386,Advanced Fibrosis Detection for MASLD in Primary Care,https://clinicaltrials.gov/study/NCT07159386,NOT_YET_RECRUITING,Metabolic Dysfunction-associated Steatotic Liver Disease,OTHER: EHR alert,Medical University of South Carolina,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health (NIH),INTERVENTIONAL,
NCT07159373,Better Options for Lymphatic Filariasis Treatment,https://clinicaltrials.gov/study/NCT07159373,NOT_YET_RECRUITING,Lymphatic Filariasis|Scabies|Strongyloidiasis,DRUG: MoxDA - Moxidectin + Diethylcarbamzine (DEC) + Albendazole|DRUG: IDA - Ivermectin + DEC + albendazole,Medicines Development for Global Health,Murdoch Childrens Research Institute|Kirby Institute,INTERVENTIONAL,"Ministry of Health and Medical Services Fiji, Suva, Fiji"
NCT07159360,"Safety, Usability, and Effectiveness of a Gait Exoskeleton for Children and Adolescents With Neurodevelopmental Disorders.",https://clinicaltrials.gov/study/NCT07159360,NOT_YET_RECRUITING,Neuromuscular Disorders|Neurodevelopmental Disorders,DEVICE: CLINICAL EXPLORER,MarsiBionics,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain|APAC, I.A.P.",INTERVENTIONAL,"Asociación Pro Personas con Paralisis Cerebral (APAC-IAP), Mexico City, Mexico City, 06720, Mexico|Hospital Infantil Universitario Niño Jesús-Servicio de Neuro Ortopedia, Madrid, Madrid, 28009, Spain"
NCT07159347,Assessment of Daily Stressors in Children With Depressive Symptoms for the Development of a Gamified Emotion Regulation App,https://clinicaltrials.gov/study/NCT07159347,RECRUITING,Depressive Disorder|Depression in Children|Depressive Symptoms,,Ludwig-Maximilians - University of Munich,"Technical University Darmstadt (WG Serious Games)|Ascora GmbH|smart medication eHealth Solutions GmbH|Pedagogical Academy Elisabethenstift gGmbH|University Medical Center Rostock|Johannes Gutenberg-University Mainz (Developmental Psychology)|Federal Ministry of Research, Technology and Space",OBSERVATIONAL,"Department of Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy, LMU University Hospital, München, Bavaria, 80336, Germany"
NCT07159334,"""Lignocaine vs GTN Ointment for Postoperative Pain After Hemorrhoidectomy"")",https://clinicaltrials.gov/study/NCT07159334,RECRUITING,Hemorrhoid|Postoperative Pain,DRUG: Lignocaine Ointment|DRUG: Glyceryl Trinitrate Ointment 0.2%,King Edward Medical University,,INTERVENTIONAL,"King Edward Medical uUniveristy Mayo Hospital, Lahore, Punjab Province, 54000, Pakistan"
NCT07159321,Frailty and Health-related Quality of Life in Older Women With Breast Carcinoma,https://clinicaltrials.gov/study/NCT07159321,NOT_YET_RECRUITING,Breast Cancer Females|Frailty,OTHER: Comprehensive geriatric assessment|OTHER: European Organization for Research and Treatment-Quality of life questionnaire|OTHER: Clinical Frailty Scale,Ain Shams University,,OBSERVATIONAL,
NCT07159308,Motivation for Daily Living Skills,https://clinicaltrials.gov/study/NCT07159308,NOT_YET_RECRUITING,Autism Spectrum Disorder (ASD)|Motivation,BEHAVIORAL: Intrinsic Motivation Treatment|BEHAVIORAL: Extrinsic Motivation Treatment|BEHAVIORAL: Combined Intrinsic and Extrinsic Motivation Treatment,Children's Hospital of Philadelphia,,INTERVENTIONAL,
NCT07159295,"Retrospective, Observational, Portuguese Hospitals to Describe Patient Characteristics, Treatment Patterns and Outcomes",https://clinicaltrials.gov/study/NCT07159295,COMPLETED,Severe Asthma,,AstraZeneca,,OBSERVATIONAL,"Hospital Prof. Dr. Fernando Fonseca, Amadora, 2720-276, Portugal|HSMM, Barcelos, 4750-275, Portugal|CHUC - Imunoalergologia, Coimbra, 3000 -076, Portugal|CHUC - Pneumologia, Coimbra, 3000 -076, Portugal|CHUA, Faro, 8000-368, Portugal|Hospital Leiria, Leiria, 2410-197, Portugal|Chln - Hsm, Lisbon, 1649-035, Portugal|Chuln - Hsm, Lisbon, 1649-035, Portugal|Hospital Pedro Hispano, Matosinhos Municipality, 4464-513, Portugal|CHUA, Portimão, 8500-338, Portugal|CHUSJ - Imuno, Porto, 4200 - 319, Portugal|CHUSJ - Pneumo, Porto, 4200 - 319, Portugal|Chusj - Cri, Porto, 4200-319, Portugal|Hospital Distrital de Santarém, Santarém, 2005-177, Portugal|CHVNGE, Vila Nova de Gaia, 4430 - 999, Portugal|CHTMAD, Vila Real, 5000-508, Portugal"
NCT07159282,"A Multicenter, Prospective, Controlled Clinical Trial Evaluating the Efficacy of a Single Layer Placental-based Allograft and Standard of Care in the Management of Nonhealing Diabetic Foot Ulcers",https://clinicaltrials.gov/study/NCT07159282,RECRUITING,Diabetic Foot|Foot Ulcer|Ulcer Foot|DFU|Foot Ulcer Due to Type 2 Diabetes Mellitus|Foot Ulcer Due to Type 1 Diabetes Mellitus|Diabetic Foot Ulcer,OTHER: XWRAP,"Applied Biologics, LLC","SerenaGroup, Inc.",INTERVENTIONAL,"Royal Research, Hollywood, Florida, 33024, United States"
NCT07159269,Cardiac point-of Care Ultrasound Training Pathway for Emergency Department Advanced Practice Providers,https://clinicaltrials.gov/study/NCT07159269,NOT_YET_RECRUITING,Cardiovascular Disease Acute|Emergency Department Patient|Heart Failure Acute|Pulmonary Embolism (Diagnosis)|Point of Care Ultrasound (POCUS)|Cardiac Tamponade|Pericardial Effusion|Diagnostic Imaging|Medical Training|Implementation Science,BEHAVIORAL: Cardiac point-of-care ultrasound (POCUS) training and clinical pathway,Duke University,,INTERVENTIONAL,"Duke University Health System, Durham, North Carolina, 27705, United States"
NCT07159256,"Impact of Processing Speed on Motor, Balance, Gait, and Quality of Life in Stroke""",https://clinicaltrials.gov/study/NCT07159256,ENROLLING_BY_INVITATION,Stroke|Ischaemic Stroke,,Istanbul Aydın University,,OBSERVATIONAL,"Istanbul Aydın University, Istanbul, küçükçekmece, 34295, Turkey (Türkiye)"
NCT07159243,Evaluate the Efficacy and Safety of HL-1186 in Patients With Diabetic Peripheral Neuropathic Pain,https://clinicaltrials.gov/study/NCT07159243,NOT_YET_RECRUITING,Diabetic Peripheral Neuropathic Pain,DRUG: HL-1186|DRUG: HL-1186|DRUG: HL-1186 placebo,"Shanghai Yidian Pharmaceutical Technology Development Co., Ltd.",,INTERVENTIONAL,
NCT07159230,PCOT for Outpatients With Acute Respiratory Tract Infection at Risk of Severe Disease in Primary Healthcare,https://clinicaltrials.gov/study/NCT07159230,NOT_YET_RECRUITING,Acute Respiratory Tract Infection,DIAGNOSTIC_TEST: point-of-care multiplex PCR test,Capital Medical University,,INTERVENTIONAL,"Xincheng District Hospital, Hohhot; Genghis Khan Community Health Service Center; East Street & West Street Sub-district Community Health Service Center; East Yingxin Road Community Health Service Center and so on, Hohhot, Inner Mongolia, China"
NCT07159217,Disitamab Vedotin Plus Lenvatinib and PD-1 Inhibitors for Treating HER2-positive Advanced Biliary Tract Cancer,https://clinicaltrials.gov/study/NCT07159217,NOT_YET_RECRUITING,Biliary Tract Cancer|Disitamab Vedotin|Lenvatinib|Immune Checkpoint Inhibitors,DRUG: Disitamab Vedotin|DRUG: Lenvatinib|DRUG: Pembrolizumab|DRUG: Toripalimab|DRUG: Camrelizumab,Peking Union Medical College Hospital,,INTERVENTIONAL,"Chinese Academy of Medical Sciences, Peking Union Medical College Hospital, Beijing, China"
NCT07159204,Paclitaxel mIcelle Later-line cOmbined immunoTherapy for Biliary Tract Cancer,https://clinicaltrials.gov/study/NCT07159204,RECRUITING,Biliary Tract Cancer (BTC),DRUG: Paclitaxel polymer micelle immunocombination,Peking Union Medical College Hospital,,INTERVENTIONAL,"Peking Union Medical College Hospital, Beijing, Beijing Municipality, 100730, China"
NCT07159191,Envafolimab Combined With Axitinib as First-Line Treatment for Patients With Advanced Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT07159191,NOT_YET_RECRUITING,Advanced Renal Cell Carcinoma (aRCC),"DRUG: Envafolimab Injection, Axitinib Tablets",Peking Union Medical College Hospital,,INTERVENTIONAL,
NCT07159178,The Effect of Shoulder Problems on Balance in Hemiplegic Patients,https://clinicaltrials.gov/study/NCT07159178,ENROLLING_BY_INVITATION,Hemiplegia|Stroke,,Istanbul Aydın University,,OBSERVATIONAL,"İstanbul Aydın Unıversity, Istanbul, KÜÇÜKÇEKMECE, 34295, Turkey (Türkiye)"
NCT07159165,Registry of MIUS for Benign Prostatic Obstruction,https://clinicaltrials.gov/study/NCT07159165,ENROLLING_BY_INVITATION,Benign Prostatic Hyperplasia With Lower Urinary Tract Symptoms,PROCEDURE: Minimally invasive surgical treatment for benign prostatic obstruction,Ondokuz Mayıs University,Ankara University|Dokuz Eylul University|Erol Olcok Corum Training and Research Hospital|Gazi University|Eskisehir Osmangazi University|Marmara University|Samsun Education and Research Hospital|Cukurova University|Izmir Metropolitan Municipality Esrefpasa Hospital|Tepecik Training and Research Hospital,OBSERVATIONAL,"Ondokuz Mayıs University, Samsun, Turkey (Türkiye)"
NCT07159152,Effects of Coffee Versus Hibiscus Tea Consumption During Prolonged Sitting on Blood Pressure and Heart Rate,https://clinicaltrials.gov/study/NCT07159152,NOT_YET_RECRUITING,Hypertension,DIETARY_SUPPLEMENT: Coffee|DIETARY_SUPPLEMENT: Hibiscus drink,King Saud University,"Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia",INTERVENTIONAL,"Princess Nourah University Lifestyle Center, Riyadh, 80200, Saudi Arabia"
NCT07159139,Vatiquinone Expanded Access Protocol,https://clinicaltrials.gov/study/NCT07159139,AVAILABLE,Mitochondrial Disease,DRUG: Vatiquinone,Medical University of South Carolina,PTC Therapeutics,EXPANDED_ACCESS,
NCT07159126,A Study of DS3610a in Participants With Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT07159126,NOT_YET_RECRUITING,Solid Tumors|Metastatic Solid Tumors,DRUG: DS3610a,Daiichi Sankyo,,INTERVENTIONAL,
NCT07159113,The Relationship Between Sensory Profile and Ankle Muscle Shortness in Children With Autism,https://clinicaltrials.gov/study/NCT07159113,NOT_YET_RECRUITING,Autism,,Abant Izzet Baysal University,,OBSERVATIONAL,"Bolu Abant İzzet Baysal University, Bolu, Bolu, 14030, Turkey (Türkiye)|Düzce Gökkuşağı Özel Eğitim ve Rehabilitasyon Merkezi, Düzce, Düzce, 81100, Turkey (Türkiye)|Kdz. Ereğli Gökkuşağı Özel Eğitim ve Rehabilitasyon Merkezi, Ereğli, Zonguldak Province, 67300, Turkey (Türkiye)"
